%----------------------------------------------------------------
%  Reference : H. Abe, R.A.Antonia and H. Kawamura,
%  "Correlation between small-scale velocity 
%  and scalar fluctuations in a turbulent channel flow," 
%  J. Fluid Mech., Vol. 627, pp. 1-32 (2009).
%  DOI: https://doi.org/10.1017/S0022112008005569
%----------------------------------------------------------------
Case: cha395

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     3.29 and 3.29 wall units in the x- and z-directions
     and 0.15 to 6.52 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     1536 x 192 x 768

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 5,008 non-dimensional units of time (nu/u_tau^2)
     after the flow reaches the fully developed state.  


2. Conditions

2.1. Specified conditions

     Re_tau = 395

2.2. Obtained mean quantities

     Re_bulk = 13849


3. Turbulence statistics

 j       y+           u_mean+          uu+            ww+
59   1.610870e+02   8.162189e-01   5.763998e-01
60   1.668421e+02   8.004415e-01   5.623244e-01
61   1.726593e+02   7.845969e-01   5.480631e-01
62   1.785352e+02   7.687478e-01   5.336283e-01
63   1.844665e+02   7.529774e-01   5.190436e-01
64   1.904501e+02   7.373743e-01   5.043267e-01
65   1.964826e+02   7.219925e-01   4.894689e-01
66   2.025612e+02   7.069242e-01   4.744789e-01
67   2.086828e+02   6.922708e-01   4.593851e-01
68   2.148444e+02   6.780650e-01   4.441976e-01
69   2.210433e+02   6.642549e-01   4.289290e-01
70   2.272767e+02   6.507756e-01   4.135902e-01
71   2.335420e+02   6.376056e-01   3.981709e-01
72   2.398366e+02   6.247109e-01   3.826667e-01
73   2.461582e+02   6.120189e-01   3.670886e-01
74   2.525043e+02   5.994845e-01   3.514470e-01
75   2.588729e+02   5.871438e-01   3.357561e-01
76   2.652616e+02   5.750844e-01   3.200334e-01
77   2.716687e+02   5.633713e-01   3.042979e-01
78   2.780921e+02   5.520489e-01   2.885510e-01
79   2.845302e+02   5.411675e-01   2.727848e-01
80   2.909811e+02   5.307827e-01   2.569902e-01
81   2.974434e+02   5.209194e-01   2.411754e-01
82   3.039157e+02   5.115989e-01   2.253627e-01
83   3.103965e+02   5.028633e-01   2.095599e-01
84   3.168846e+02   4.947517e-01   1.937631e-01
85   3.233789e+02   4.872618e-01   1.779747e-01
86   3.298784e+02   4.803774e-01   1.621964e-01
87   3.363822e+02   4.741020e-01   1.464215e-01
88   3.428893e+02   4.684389e-01   1.306577e-01
89   3.493991e+02   4.633585e-01   1.149313e-01
90   3.559109e+02   4.588342e-01   9.925068e-02
91   3.624243e+02   4.548701e-01   8.359351e-02
92   3.689386e+02   4.514550e-01   6.794254e-02
93   3.754536e+02   4.485881e-01   5.229719e-02
94   3.819689e+02   4.463188e-01   3.665868e-02
95   3.884844e+02   4.447335e-01   2.102648e-02
96   3.950000e+02   4.439076e-01   5.399688e-03


4. Budgets of transport equations

Budget of uu+ :

       y+            Prod.           Diss.       vel_p_grad.     Turb_Diff.    Mole_Diff.        Res.    
   1.477129e-01   1.217682e-05   2.100023e-05   8.621337e-04   3.083825e-01   3.092940e-01  -1.621303e-05
   4.524840e-01   2.018123e-04   3.370337e-04   1.913849e-03   3.048439e-01   3.072773e-01   1.924494e-05
   7.780542e-01   9.764433e-04   1.592772e-03   2.333575e-03   3.013618e-01   3.062138e-01   5.073843e-05
   1.128718e+00   2.962681e-03   4.686544e-03   2.104639e-03   2.957609e-01   3.054279e-01   8.691930e-05
   1.508913e+00   7.073031e-03   1.070386e-02   1.207567e-03   2.852663e-01   3.041442e-01   1.066236e-04
